SP,PG,PROK_GROUP_ID,WEIGHT_PG,TAXON_ID
  0      ,5        ,91       ,0.5000000, 228908  
  0      ,7        ,93       ,0.5000000, 228908  
  1      ,6        ,92       ,0.5000000, 374847  
  1      ,7        ,93       ,0.5000000, 374847  
  2      ,5        ,91       ,0.5000000, 272557  
  2      ,7        ,93       ,0.5000000, 272557  
  3      ,6        ,92       ,0.5000000, 273057  
  3      ,7        ,93       ,0.5000000, 273057  
  4      ,6        ,92       ,1.0000000, 768679  
  5      ,5        ,91       ,0.5000000, 188937  
  5      ,7        ,93       ,0.5000000, 188937  
  6      ,6        ,92       ,0.5000000, 362976  
  6      ,7        ,93       ,0.5000000, 362976  
  7      ,6        ,92       ,1.0000000, 309800  
  8      ,6        ,92       ,1.0000000, 348780  
  9      ,5        ,91       ,0.5000000, 634497  
  9      ,7        ,93       ,0.5000000, 634497  
 10      ,5        ,91       ,1.0000000, 272569  
 11      ,5        ,91       ,1.0000000, 243090  
 12      ,0        ,86       ,1.0000000, 190304  
 13      ,4        ,90       ,0.3333333, 240015  
 13      ,6        ,92       ,0.3333333, 240015  
 13      ,7        ,93       ,0.3333333, 240015  
 14      ,2        ,88       ,0.3333333, 743525  
 14      ,4        ,90       ,0.3333333, 743525  
 14      ,6        ,92       ,0.3333333, 743525  
 15      ,5        ,91       ,0.5000000, 224324  
 15      ,7        ,93       ,0.5000000, 224324  
 16      ,6        ,92       ,1.0000000, 484019  
 17      ,4        ,90       ,0.5000000, 255470  
 17      ,6        ,92       ,0.5000000, 255470  
 18      ,6        ,92       ,1.0000000, 311424  
 19      ,6        ,92       ,1.0000000, 330214  
 20      ,6        ,92       ,0.5000000, 379066  
 20      ,7        ,93       ,0.5000000, 379066  
 21      ,1        ,87       ,0.3333333, 267671  
 21      ,4        ,90       ,0.3333333, 267671  
 21      ,6        ,92       ,0.3333333, 267671  
 22      ,3        ,89       ,1.0000000, 759914  
 23      ,3        ,89       ,1.0000000, 565034  
 24      ,5        ,91       ,1.0000000, 167539  
 25      ,6        ,92       ,1.0000000,   1148  
