GN,ALS,ALD,WEIGHT,FRAGM_ID,GENE_ID,SOURCE_ID,DEST_ID
  0         , 7254       , 4367       ,0.1499451153,436150      ,110         ,226226873   ,152980236   
  0         , 7254       , 9518       ,0.1499451153,436150      ,110         ,226226873   ,300313639   
  0         , 7254       ,10366       ,0.1499451153,436150      ,110         ,226226873   ,339324307   
  0         , 7254       ,10716       ,0.1499451153,436150      ,110         ,226226873   ,340789455   
  0         , 7254       , 2912       ,0.1499451153,436150      ,110         ,226226873   , 94309041   
  0         , 4367       , 7254       ,0.0500548847,436150      ,110         ,152980236   ,226226873   
  0         , 9518       , 7254       ,0.0500548847,436150      ,110         ,300313639   ,226226873   
  0         ,10366       , 7254       ,0.0500548847,436150      ,110         ,339324307   ,226226873   
  0         ,10716       , 7254       ,0.0500548847,436150      ,110         ,340789455   ,226226873   
  0         , 2912       , 7254       ,0.0500548847,436150      ,110         , 94309041   ,226226873   
  1         , 2227       , 1851       ,0.5555555556,436151      ,111         , 52144972   , 49476755   
  1         , 1851       , 2227       ,0.4444444444,436151      ,111         , 49476755   , 52144972   
  1         ,10890       , 5002       ,0.9800000000,436152      ,111         ,352681997   ,170290743   
  1         , 5002       ,10890       ,0.0200000000,436152      ,111         ,170290743   ,352681997   
  2         , 9694       , 1899       ,0.9574920298,436153      ,112         ,301056068   , 49478689   
  2         , 1899       , 9694       ,0.0425079702,436153      ,112         , 49478689   ,301056068   
  2         , 7847       , 7967       ,0.2824175824,436154      ,112         ,258508766   ,258539943   
  2         , 7967       , 7847       ,0.7175824176,436154      ,112         ,258539943   ,258508766   
  3         , 5004       , 3534       ,0.2380000000,436155      ,113         ,170290860   ,118431143   
  3         , 3534       , 5004       ,0.7620000000,436155      ,113         ,118431143   ,170290860   
  3         , 3534       , 1738       ,0.7032418953,436156      ,113         ,118431143   , 41614900   
  3         , 1738       , 3534       ,0.1483790524,436156      ,113         , 41614900   ,118431143   
  3         , 1738       , 5004       ,0.1483790524,436156      ,113         , 41614900   ,170290860   
  3         , 5214       , 3229       ,0.0082294264,436157      ,113         ,189218097   ,110667082   
  3         , 5214       , 8872       ,0.0082294264,436157      ,113         ,189218097   ,292655989   
  3         , 5214       ,10730       ,0.0082294264,436157      ,113         ,189218097   ,344210741   
  3         , 5214       , 2427       ,0.0082294264,436157      ,113         ,189218097   , 55379745   
  3         , 5214       , 2711       ,0.0082294264,436157      ,113         ,189218097   , 76803150   
