"","x","y","t90","t75","t50","nb_genes","com90_val","com75_val","com50_val","sp_tr"
"1"," 2"," 2","0","1","0"," 74","0.04826255","0.4987130","0.8140283","[0.05; 0.5; 0.81]"
"2"," 3","10","0","0","1"," 60","0.00000000","0.3375401","1.1910251","[0.0; 0.34; 1.19]"
"3"," 3","14","0","1","0"," 56","0.00000000","0.5877225","0.9324115","[0.0; 0.59; 0.93]"
"4"," 5"," 5","1","0","0"," 96","0.23230820","0.3860780","0.7829034","[0.23; 0.39; 0.78]"
"5"," 5"," 8","1","1","1"," 81","0.37544018","1.4234650","2.3930147","[0.38; 1.42; 2.39]"
"6"," 6","12","1","1","1"," 78","1.26935771","1.6892630","1.6908923","[1.27; 1.69; 1.69]"
"7"," 6","17","1","0","0"," 92","0.33266370","0.3326637","0.6666485","[0.33; 0.33; 0.67]"
"8"," 8"," 3","0","0","1"," 46","0.00000000","0.0000000","2.2214738","[0.0; 0.0; 2.22]"
"9"," 8","16","0","1","0"," 81","0.00000000","1.0973937","1.0973937","[0.0; 1.1; 1.1]"
"10","10","16","0","0","1"," 97","0.00000000","0.0000000","1.2956423","[0.0; 0.0; 1.3]"
"11","11","11","0","1","0","101","0.06600660","0.5280528","0.9900990","[0.07; 0.53; 0.99]"
"12","13"," 5","0","0","1"," 18","0.00000000","0.0000000","1.7976249","[0.0; 0.0; 1.8]"
"13","15","15","1","0","0","108","0.20554424","0.3697167","0.8111970","[0.21; 0.37; 0.81]"
"14","17","23","1","1","1","106","0.87487587","0.9657316","1.6497083","[0.87; 0.97; 1.65]"
"15","18","18","1","1","1","101","0.15951595","0.5844061","1.1765777","[0.16; 0.58; 1.18]"
"16","19","19","1","1","1","108","0.43875325","0.7135051","1.4817864","[0.44; 0.71; 1.48]"
"17","21","21","1","1","1","103","0.88226229","1.1172754","2.4202497","[0.88; 1.12; 2.42]"
"18","22","17","1","0","0"," 93","0.30226624","0.3022662","0.3025505","[0.3; 0.3; 0.3]"
