"","x","y","t90","t75","t50","nb_genes","tot90_val","tot75_val","tot50_val","sp_tr"
"1"," 2"," 2","0","0","1"," 74","0.4536680","1.5797941"," 4.566595","[0.45; 1.58; 4.57]"
"2"," 3"," 2","1","0","0"," 67","1.2852405","1.3497116"," 2.947495","[1.29; 1.35; 2.95]"
"3"," 5"," 8","1","1","1"," 81","1.0973937","1.8952205"," 4.892523","[1.1; 1.9; 4.89]"
"4"," 6","12","1","1","0"," 78","1.2820513","1.9230769"," 4.061458","[1.28; 1.92; 4.06]"
"5"," 6","17","1","1","1"," 92","1.6753958","3.3058306"," 5.410477","[1.68; 3.31; 5.41]"
"6"," 8"," 3","0","1","1"," 46","0.0000000","2.1739130"," 8.154799","[0.0; 2.17; 8.15]"
"7"," 8","16","1","0","1"," 81","1.2345679","1.8518519"," 5.246914","[1.23; 1.85; 5.25]"
"8"," 9","17","1","0","0"," 98","0.8503401","0.8503401"," 1.715290","[0.85; 0.85; 1.72]"
"9","10"," 3","1","0","0"," 60","0.8333333","0.8333333"," 3.417139","[0.83; 0.83; 3.42]"
"10","10","16","0","1","0"," 97","0.0000000","2.0618557"," 3.780069","[0.0; 2.06; 3.78]"
"11","11","11","0","1","1","101","0.6930693","2.1452145","12.432296","[0.69; 2.15; 12.43]"
"12","13"," 5","0","1","1"," 18","0.0000000","1.8518519","11.111906","[0.0; 1.85; 11.11]"
"13","17","23","1","0","0","106","0.8748759","1.1690229"," 4.449902","[0.87; 1.17; 4.45]"
"14","18","18","0","1","1","101","0.2294360","1.8982362"," 9.403090","[0.23; 1.9; 9.4]"
"15","19","19","1","1","1","108","0.9047604","2.8824102"," 9.729715","[0.9; 2.88; 9.73]"
"16","21","21","1","1","1","103","1.3676992","3.0590230","14.420529","[1.37; 3.06; 14.42]"
