"","x","y","com90_val","com75_val","com50_val","tot90_val","tot75_val","tot50_val"
"1"," 3"," 4","8.31666667","8.31666667","18.26376282","9.72222222","18.05555556","55.5555556"
"2"," 4"," 3","1.40555556","1.40555556"," 2.56957052","1.40555556"," 1.40555556","12.5166667"
"3"," 6","12","1.26935771","1.68926300"," 1.69089230","1.28205128"," 1.92307692"," 4.0614584"
"4","21","21","0.88226229","1.11727539"," 2.42024965","1.36769918"," 3.05902296","14.4205291"
"5","17","23","0.87487587","0.96573164"," 1.64970830","0.87487587"," 1.16902289"," 4.4499019"
"6","19","19","0.43875325","0.71350509"," 1.48178643","0.90476039"," 2.88241020"," 9.7297151"
"7"," 5"," 8","0.37544018","1.42346498"," 2.39301469","1.09739370"," 1.89522045"," 4.8925225"
"8"," 6","17","0.33266370","0.33266370"," 0.66664852","1.67539581"," 3.30583059"," 5.4104768"
"9","22","17","0.30226624","0.30226624"," 0.30255046","0.30226624"," 1.07526882"," 2.7217712"
"10"," 5"," 5","0.23230820","0.38607804"," 0.78290344","0.23230820"," 0.48528439"," 1.0064156"
"11","15","15","0.20554424","0.36971669"," 0.81119700","0.63345925"," 1.17892320"," 2.4775739"
"12","18","18","0.15951595","0.58440610"," 1.17657774","0.22943599"," 1.89823625"," 9.4030900"
"13","17"," 6","0.15042809","0.15042809"," 0.20114543","0.55770796"," 0.82944709"," 0.8621443"
"14"," 7"," 7","0.13964958","0.23972428"," 0.39013039","0.26479991"," 0.52421667"," 1.3124054"
"15"," 6","19","0.12761772","0.12761772"," 0.24347820","0.13848159"," 0.15341588"," 0.6815493"
"16","23","17","0.06852036","0.13878562"," 0.98174222","0.06852036"," 0.42704558"," 3.0514579"
"17","20","19","0.06760709","0.07016190"," 0.07252034","0.07495255"," 0.07750735"," 0.1186669"
"18","11","11","0.06600660","0.52805281"," 0.99009901","0.69306931"," 2.14521452","12.4322964"
"19","17","19","0.06486381","0.06486381"," 0.18107562","0.06525671"," 0.06525671"," 0.2344780"
"20","23","18","0.06125209","0.06125209"," 0.06566172","0.08169935"," 0.08169935"," 0.1252673"
