win_length,index,dXY,vX,vY,q0,q1,q2,q3,q4 
20,0,0.008595,0.009388,0.008184,-0.000794,-0.000793,0.000411,-0.000383,0.008595
20,1,0.008595,0.009388,0.008184,-0.000794,-0.000793,0.000411,-0.000383,0.008595
20,2,0.003699,0.004188,0.003310,-0.000489,-0.000489,0.000389,-0.000100,0.003699
20,3,0.003699,0.004188,0.003310,-0.000489,-0.000489,0.000389,-0.000100,0.003699
20,4,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,5,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,6,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,7,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,8,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,9,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,10,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,11,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,12,0.001369,0.001690,0.001011,-0.000321,-0.000321,0.000358,0.000037,0.001369
20,13,0.000294,0.000569,0.000000,-0.000275,-0.000275,0.000294,0.000020,0.000294
20,14,0.000294,0.000569,0.000000,-0.000275,-0.000275,0.000294,0.000020,0.000294
20,15,0.000294,0.000569,0.000000,-0.000275,-0.000275,0.000294,0.000020,0.000294
20,16,0.000294,0.000569,0.000000,-0.000275,-0.000275,0.000294,0.000020,0.000294
20,17,0.000294,0.000569,0.000000,-0.000275,-0.000275,0.000294,0.000020,0.000294
20,18,0.000049,0.000098,0.000000,-0.000049,-0.000049,0.000049,0.000000,0.000049
20,19,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,20,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,21,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,22,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,23,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,24,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,25,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,26,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,27,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,28,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,29,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,30,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,31,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,32,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,33,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,34,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,35,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,36,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,37,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,38,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,46,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,47,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,48,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,49,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,50,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,51,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,52,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,53,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,54,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,55,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,56,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,57,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,58,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,59,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,60,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,61,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,62,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,63,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,64,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,65,0.000804,0.000969,0.000345,-0.000165,-0.000165,0.000459,0.000294,0.000804
20,66,0.000678,0.000969,0.000167,-0.000291,-0.000291,0.000511,0.000221,0.000678
20,67,0.000678,0.000969,0.000167,-0.000291,-0.000291,0.000511,0.000221,0.000678
20,68,0.000678,0.000969,0.000167,-0.000291,-0.000291,0.000511,0.000221,0.000678
20,69,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,70,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,74,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,77,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,78,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,79,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,80,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,82,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,83,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,84,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,85,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,86,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,87,0.000083,0.000000,0.000167,0.000083,0.000083,-0.000083,0.000000,0.000083
20,88,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,89,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,90,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,91,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,92,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,93,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,94,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,95,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,96,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,97,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,98,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,99,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,100,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,101,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,102,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,103,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,104,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,105,0.000136,0.000098,0.000167,0.000038,0.000038,-0.000031,0.000007,0.000136
20,106,0.001719,0.001955,0.001489,-0.000236,-0.000236,0.000230,-0.000005,0.001719
20,107,0.001719,0.001955,0.001489,-0.000236,-0.000236,0.000230,-0.000005,0.001719
20,108,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,109,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,110,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,111,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,112,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,113,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,114,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,115,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,116,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,117,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,118,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,119,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,120,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,121,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,122,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,123,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,124,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,125,0.001578,0.001669,0.001489,-0.000090,-0.000090,0.000090,-0.000000,0.001578
20,126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,127,0.000789,0.000192,0.001086,0.000597,0.000597,-0.000297,0.000300,0.000789
20,128,0.000789,0.000192,0.001086,0.000597,0.000597,-0.000297,0.000300,0.000789
20,129,0.000789,0.000192,0.001086,0.000597,0.000597,-0.000297,0.000300,0.000789
20,130,0.000789,0.000192,0.001086,0.000597,0.000597,-0.000297,0.000300,0.000789
20,131,0.000789,0.000192,0.001086,0.000597,0.000597,-0.000297,0.000300,0.000789
20,132,0.000789,0.000192,0.001086,0.000597,0.000597,-0.000297,0.000300,0.000789
20,133,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,134,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,135,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,136,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,137,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,138,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,139,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,140,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,141,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,142,0.000969,0.000192,0.001615,0.000776,0.000777,-0.000646,0.000131,0.000969
20,143,0.004031,0.001004,0.004672,0.003023,0.003027,-0.000641,0.002386,0.004031
20,144,0.009727,0.002718,0.010305,0.006985,0.007009,-0.000577,0.006432,0.009727
20,145,0.014513,0.004722,0.015701,0.009744,0.009792,-0.001188,0.008603,0.014513
20,146,0.021812,0.007463,0.023891,0.014247,0.014349,-0.002079,0.012271,0.021812
20,147,0.016824,0.006165,0.017724,0.010602,0.010659,-0.000901,0.009758,0.016824
20,148,0.016824,0.006165,0.017724,0.010602,0.010659,-0.000901,0.009758,0.016824
20,149,0.016824,0.006165,0.017724,0.010602,0.010659,-0.000901,0.009758,0.016824
20,150,0.016824,0.006165,0.017724,0.010602,0.010659,-0.000901,0.009758,0.016824
20,151,0.027082,0.009863,0.027701,0.017072,0.017219,-0.000619,0.016600,0.027082
20,152,0.039974,0.014463,0.040253,0.025191,0.025511,-0.000279,0.025232,0.039974
20,153,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
20,154,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
20,155,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
20,156,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
20,157,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
20,158,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
20,159,0.037990,0.014463,0.037724,0.023255,0.023527,0.000266,0.023794,0.037990
