"win_length","x","A_Q1","A_Q2","A_Q3","A_Q4","A_MIN(Q1,Q2)","A_NORM(Q3)","MAX_Q1","MAX_Q2","MAX_Q3","MAX_Q4","MAX(All)"
9,0,0.049382700,0.049382700,0.098765300,0.049382700,0.049382700,0.049382650,1.000,1,1.92,1,1.92
9,9,0.015332400,0.016913500,0.038517000,0.021604900,0.015332400,0.019258500,,,,,
9,18,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,27,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,36,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,45,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,54,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,63,0.012530000,0.012898400,0.025428500,0.014377500,0.012530000,0.012714250,,,,,
9,72,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,81,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,90,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,99,0.012345700,0.012345700,0.000312544,0.012345700,0.012345700,0.000156272,,,,,
9,108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,117,0.012345600,0.012345800,0.019358200,0.012345600,0.012345600,0.009679100,,,,,
9,126,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,135,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,144,0.012708700,0.014505700,0.026112600,0.017503000,0.012708700,0.013056300,,,,,
9,153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,162,0.241623000,0.252509000,0.526075000,0.277052000,0.241623000,0.263037500,,,,,
9,171,0.037399800,0.037400300,0.066888500,0.037400500,0.037399800,0.033444250,,,,,
9,180,0.012345700,0.012345700,0.024362300,0.012345700,0.012345700,0.012181150,,,,,
9,189,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,198,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,207,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,216,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,225,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,234,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,243,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,252,0.197531000,0.197531000,0.395060000,0.197531000,0.197531000,0.197530000,,,,,
9,261,0.049382700,0.049382700,0.098765100,0.049382700,0.049382700,0.049382550,,,,,
9,270,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,279,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,288,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,297,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,306,0.017118700,0.028468200,0.045656900,0.031489500,0.017118700,0.022828450,,,,,
9,315,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,324,0.012345700,0.012345700,0.024311500,0.012345700,0.012345700,0.012155750,,,,,
9,333,0.012345700,0.012345700,0.012345600,0.012345700,0.012345700,0.006172800,,,,,
9,342,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,351,0.012512500,0.012512600,0.025358900,0.013283500,0.012512500,0.012679450,,,,,
9,360,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,369,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,378,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,387,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,396,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,405,0.012502000,0.012502000,0.025316500,0.012814500,0.012502000,0.012658250,,,,,
9,414,0.030944500,0.030944500,0.026008300,0.032427100,0.030944500,0.013004150,,,,,
9,423,0.194595000,0.194595000,0.394925000,0.200330000,0.194595000,0.197462500,,,,,
9,432,0.048629300,0.048629300,0.092129200,0.050807800,0.048629300,0.046064600,,,,,
9,441,0.012666000,0.013403700,0.025999500,0.015158800,0.012666000,0.012999750,,,,,
9,450,0.032841400,0.032841600,0.070957300,0.038131000,0.032841400,0.035478650,,,,,
9,459,0.012345700,0.013638800,0.029395900,0.015757100,0.012345700,0.014697950,,,,,
9,468,0.012670500,0.012838600,0.026590800,0.013752200,0.012670500,0.013295400,,,,,
9,477,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,486,0.023988200,0.023988300,0.027568900,0.030389300,0.023988200,0.013784450,,,,,
9,495,0.012345700,0.012345700,0.024691500,0.012345700,0.012345700,0.012345750,,,,,
9,504,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,513,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,522,0.020349100,0.020349000,0.046779300,0.026666600,0.020349000,0.023389650,,,,,
9,531,0.044491000,0.044490900,0.086097300,0.044491200,0.044490900,0.043048650,,,,,
9,540,0.291654000,0.291655000,0.587836000,0.302561000,0.291654000,0.293918000,,,,,
9,549,0.222840000,0.222840000,0.482465000,0.259623000,0.222840000,0.241232500,,,,,
9,558,0.081589400,0.081589500,0.053348500,0.083216300,0.081589400,0.026674250,,,,,
9,567,0.222873000,0.225374000,0.145135000,0.225974000,0.222873000,0.072567500,,,,,
9,576,0.086930500,0.086930600,0.067666400,0.091811000,0.086930500,0.033833200,,,,,
9,585,0.012345700,0.012345700,0.000312544,0.012345700,0.012345700,0.000156272,,,,,
9,594,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,603,0.012345700,0.012345700,0.024691500,0.012345700,0.012345700,0.012345750,,,,,
9,612,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,621,0.013754000,0.013346700,0.026026100,0.019924800,0.013346700,0.013013050,,,,,
9,630,0.046397600,0.080897200,0.088761400,0.094625500,0.046397600,0.044380700,,,,,
9,639,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,648,0.021200800,0.023501200,0.024242400,0.028910700,0.021200800,0.012121200,,,,,
9,657,0.014048500,0.032715400,0.026394200,0.037740300,0.014048500,0.013197100,,,,,
9,666,0.012952800,0.012548100,0.025500900,0.015315200,0.012548100,0.012750450,,,,,
9,675,0.097089500,0.106243000,0.025104800,0.112206000,0.097089500,0.012552400,,,,,
9,684,0.118052000,0.166174000,0.210793000,0.195811000,0.118052000,0.105396500,,,,,
9,693,0.013622700,0.017967700,0.026379300,0.023128800,0.013622700,0.013189650,,,,,
9,702,0.276256000,0.289041000,0.134846000,0.315127000,0.276256000,0.067423000,,,,,
9,711,0.498913000,0.481911000,1.157780000,0.717982000,0.481911000,0.578890000,,,,,
9,720,0.511254000,0.427727000,0.867369000,0.523629000,0.427727000,0.433684500,,,,,
9,729,0.581876000,0.581876000,1.093660000,0.657788000,0.581876000,0.546830000,,,,,
9,738,0.592559000,0.592557000,1.104520000,0.635449000,0.592557000,0.552260000,,,,,
9,747,0.277908000,0.286051000,0.547301000,0.292084000,0.277908000,0.273650500,,,,,
9,756,0.089681800,0.068807500,0.156443000,0.090001500,0.068807500,0.078221500,,,,,
9,765,0.044274200,0.044274000,0.081012600,0.044274400,0.044274000,0.040506300,,,,,
9,774,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,783,0.019130100,0.019130200,0.043820000,0.024691300,0.019130100,0.021910000,,,,,
9,792,0.135475000,0.122555000,0.258040000,0.135483000,0.122555000,0.129020000,,,,,
9,801,0.104939000,0.104939000,0.205202000,0.104939000,0.104939000,0.102601000,,,,,
9,810,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,819,0.012345700,0.012345700,0.000312544,0.012345700,0.012345700,0.000156272,,,,,
9,828,0.048447600,0.048447600,0.097269300,0.048821700,0.048447600,0.048634650,,,,,
9,837,0.111111000,0.111111000,0.222236000,0.111111000,0.111111000,0.111118000,,,,,
9,846,0.012670500,0.012838600,0.026590900,0.013752200,0.012670500,0.013295450,,,,,
9,855,0.049112100,0.049253400,0.091200900,0.075635900,0.049112100,0.045600450,,,,,
9,864,0.012345700,0.012345700,0.024691500,0.012345700,0.012345700,0.012345750,,,,,
9,873,0.049382700,0.049382800,0.098765300,0.049382800,0.049382700,0.049382650,,,,,
9,882,0.158109000,0.158109000,0.283977000,0.159868000,0.158109000,0.141988500,,,,,
9,891,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,900,0.188854000,0.188854000,0.381414000,0.192559000,0.188854000,0.190707000,,,,,
9,909,0.037036400,0.031476100,0.068513200,0.037037200,0.031476100,0.034256600,,,,,
9,918,0.023829300,0.027390400,0.047255500,0.035929200,0.023829300,0.023627750,,,,,
9,927,0.017557900,0.027330200,0.046128200,0.031177000,0.017557900,0.023064100,,,,,
9,936,0.128079000,0.128079000,0.255905000,0.154159000,0.128079000,0.127952500,,,,,
9,945,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,954,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,963,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,972,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,981,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,990,0.012654100,0.012838600,0.025949500,0.013752200,0.012654100,0.012974750,,,,,
9,999,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1008,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,1017,0.012345700,0.012345700,0.024379000,0.012345700,0.012345700,0.012189500,,,,,
9,1026,0.012345700,0.012345700,0.024691500,0.012345700,0.012345700,0.012345750,,,,,
9,1035,0.147028000,0.147027000,0.272242000,0.150355000,0.147027000,0.136121000,,,,,
9,1044,0.176836000,0.182760000,0.421130000,0.257360000,0.176836000,0.210565000,,,,,
9,1053,0.319876000,0.280694000,0.677868000,0.553853000,0.280694000,0.338934000,,,,,
9,1062,0.340594000,0.444410000,0.695195000,0.619958000,0.340594000,0.347597500,,,,,
9,1071,0.729178000,0.729177000,1.403780000,0.818245000,0.729177000,0.701890000,,,,,
9,1080,0.786998000,0.786999000,1.383070000,0.822243000,0.786998000,0.691535000,,,,,
9,1089,0.999999000,0.999999000,1.919610000,0.999999000,0.999999000,0.959805000,,,,,
9,1098,0.493002000,0.493002000,0.786619000,0.593432000,0.493002000,0.393309500,,,,,
9,1107,0.265687000,0.711817000,0.390627000,0.868276000,0.265687000,0.195313500,,,,,
9,1116,0.187584000,0.400592000,0.729541000,0.526489000,0.187584000,0.364770500,,,,,
9,1125,0.368531000,0.625134000,0.614433000,0.836483000,0.368531000,0.307216500,,,,,
9,1134,0.441763000,0.441763000,0.750646000,0.654197000,0.441763000,0.375323000,,,,,
9,1143,0.210712000,0.210711000,0.343723000,0.289104000,0.210711000,0.171861500,,,,,
9,1152,0.150873000,0.150873000,0.282791000,0.163504000,0.150873000,0.141395500,,,,,
9,1161,0.045790100,0.056354300,0.075588100,0.080637700,0.045790100,0.037794050,,,,,
9,1170,0.046056800,0.046056900,0.093410400,0.047353400,0.046056800,0.046705200,,,,,
9,1179,0.013082800,0.015358400,0.027639700,0.019468400,0.013082800,0.013819850,,,,,
9,1188,0.050436100,0.050436100,0.101558000,0.051121700,0.050436100,0.050779000,,,,,
9,1197,0.050436100,0.050436100,0.101558000,0.051121700,0.050436100,0.050779000,,,,,
9,1206,0.012345700,0.012345700,0.020724400,0.012345700,0.012345700,0.010362200,,,,,
9,1215,0.216960000,0.216960000,0.441693000,0.224727000,0.216960000,0.220846500,,,,,
9,1224,0.049382900,0.049382900,0.098765700,0.049382900,0.049382900,0.049382850,,,,,
9,1233,0.015432100,0.026436600,0.043392100,0.029301700,0.015432100,0.021696050,,,,,
9,1242,0.046972200,0.046972100,0.094893700,0.047920800,0.046972100,0.047446850,,,,,
9,1251,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,1260,0.012345700,0.014285500,0.031569500,0.017284100,0.012345700,0.015784750,,,,,
9,1269,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1278,0.012345700,0.013219400,0.027939300,0.014720000,0.012345700,0.013969650,,,,,
9,1287,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1296,0.034128500,0.034128600,0.076071100,0.041943800,0.034128500,0.038035550,,,,,
9,1305,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1314,0.013717400,0.017641100,0.026520300,0.023050800,0.013717400,0.013260150,,,,,
9,1323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1332,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1341,0.012532800,0.012532800,0.025439600,0.014533800,0.012532800,0.012719800,,,,,
9,1350,0.032841300,0.032841600,0.070949200,0.038130900,0.032841300,0.035474600,,,,,
9,1359,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1368,0.012502000,0.012502000,0.000617157,0.012814500,0.012502000,0.000308579,,,,,
9,1377,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1386,0.012506000,0.012506000,0.025332900,0.012826700,0.012506000,0.012666450,,,,,
9,1395,0.012345700,0.012345700,0.012345600,0.012345700,0.012345700,0.006172800,,,,,
9,1404,0.030864200,0.030864200,0.000625079,0.030864200,0.030864200,0.000312540,,,,,
9,1413,0.020970200,0.020970300,0.047922400,0.026951800,0.020970200,0.023961200,,,,,
9,1422,0.031144900,0.031144900,0.052118500,0.033990000,0.031144900,0.026059250,,,,,
9,1431,0.030653900,0.030654000,0.024992200,0.031567600,0.030653900,0.012496100,,,,,
9,1440,0.012345600,0.012345600,0.019859100,0.012345600,0.012345600,0.009929550,,,,,
9,1449,0.012504000,0.012504000,0.025324600,0.012820500,0.012504000,0.012662300,,,,,
9,1458,0.039976200,0.039976200,0.083353500,0.043376900,0.039976200,0.041676750,,,,,
9,1467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1476,0.012502000,0.012502000,0.012970800,0.012814500,0.012502000,0.006485400,,,,,
9,1485,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1494,0.050163400,0.050163400,0.102594000,0.052429200,0.050163400,0.051297000,,,,,
9,1503,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1512,0.024691300,0.024691400,0.000000001,0.024691300,0.024691300,0.000000000,,,,,
9,1521,0.012345700,0.012845200,0.026615500,0.013770200,0.012345700,0.013307750,,,,,
9,1530,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1539,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1548,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1557,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1566,0.030280900,0.030281100,0.041544700,0.037036900,0.030280900,0.020772350,,,,,
9,1575,0.269662000,0.269662000,0.550763000,0.287799000,0.269662000,0.275381500,,,,,
9,1584,0.226182000,0.227496000,0.029025000,0.229412000,0.226182000,0.014512500,,,,,
9,1593,0.062401700,0.062401800,0.026640900,0.058681300,0.062401700,0.013320450,,,,,
9,1602,0.044611100,0.057855600,0.131381000,0.075678000,0.044611100,0.065690500,,,,,
9,1611,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1620,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1629,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1638,0.012345700,0.013880600,0.030177000,0.016296400,0.012345700,0.015088500,,,,,
9,1647,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1656,0.040383600,0.040383700,0.087329800,0.046946400,0.040383600,0.043664900,,,,,
9,1665,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1674,0.012674800,0.013018900,0.027240000,0.014221000,0.012674800,0.013620000,,,,,
9,1683,0.012693400,0.013820400,0.026053800,0.016096500,0.012693400,0.013026900,,,,,
9,1692,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,1701,0.111111000,0.111111000,0.222231000,0.111111000,0.111111000,0.111115500,,,,,
9,1710,0.136749000,0.136748000,0.279298000,0.142537000,0.136748000,0.139649000,,,,,
9,1719,0.444448000,0.444448000,0.888895000,0.444446000,0.444448000,0.444447500,,,,,
9,1728,0.013044400,0.013044500,0.025623100,0.016565200,0.013044400,0.012811550,,,,,
9,1737,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1746,0.048148300,0.048147900,0.095487400,0.048148400,0.048147900,0.047743700,,,,,
9,1755,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1764,0.080843900,0.083672900,0.185553000,0.105413000,0.080843900,0.092776500,,,,,
9,1773,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1782,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1791,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1800,0.035777500,0.030869600,0.065931900,0.036580600,0.030869600,0.032965950,,,,,
9,1809,0.006172840,0.006172840,0.000000000,0.006172840,0.006172840,0.000000000,,,,,
9,1818,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1827,0.023769600,0.023769900,0.026365800,0.030161100,0.023769600,0.013182900,,,,,
9,1836,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1845,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1854,0.044943200,0.044943200,0.095208200,0.050264900,0.044943200,0.047604100,,,,,
9,1863,0.042384700,0.042384700,0.087382800,0.044996800,0.042384700,0.043691400,,,,,
9,1872,0.013007000,0.013007000,0.025573200,0.016096600,0.013007000,0.012786600,,,,,
9,1881,0.121041000,0.121041000,0.106605000,0.129552000,0.121041000,0.053302500,,,,,
9,1890,0.216908000,0.216908000,0.471082000,0.254158000,0.216908000,0.235541000,,,,,
9,1899,0.029775100,0.021453300,0.049383300,0.031605500,0.021453300,0.024691650,,,,,
9,1908,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1917,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1926,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1935,0.052823000,0.050826600,0.103650000,0.052823500,0.050826600,0.051825000,,,,,
9,1944,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,
9,1953,0.012345700,0.012345700,0.024691400,0.012345700,0.012345700,0.012345700,,,,,
9,1962,0.012345700,0.012345700,0.024691600,0.012345700,0.012345700,0.012345800,,,,,
9,1971,0.012345700,0.012345700,0.000312544,0.012345700,0.012345700,0.000156272,,,,,
9,1980,0.012345700,0.012345700,0.024691300,0.012345700,0.012345700,0.012345650,,,,,
9,1989,0.049382900,0.049382900,0.098765700,0.049382900,0.049382900,0.049382850,,,,,
9,1998,0.012345700,0.012345700,0.000312544,0.012345700,0.012345700,0.000156272,,,,,
9,2007,0.040847400,0.052102800,0.080463500,0.067746200,0.040847400,0.040231750,,,,,
9,2016,0.012345700,0.012345700,0.024691600,0.012345700,0.012345700,0.012345800,,,,,
