AL,GN,GENE_ID,NCBI_SEQ_ID
10932    ,  0      ,110      ,352683166
 9802    ,  0      ,110      ,302038582
 6877    ,  0      ,110      ,224370238
 5665    ,  0      ,110      ,209964346
 4757    ,  0      ,110      ,162148009
 3394    ,  0      ,110      ,110680351
 9049    ,  0      ,110      ,294676411
 6620    ,  0      ,110      ,222085780
 5393    ,  0      ,110      ,190891507
 2773    ,  0      ,110      , 86357446
 1691    ,  0      ,110      , 39935919
 4066    ,  0      ,110      ,148255782
 5587    ,  0      ,110      ,197118664
 3969    ,  0      ,110      ,134102736
  756    ,  0      ,110      , 21672856
  148    ,  0      ,110      , 15608432
 3798    ,  0      ,110      ,121637221
 1218    ,  0      ,110      , 31792485
10476    ,  0      ,110      ,339631361
 4159    ,  0      ,110      ,148661080
10565    ,  0      ,110      ,340626308
 5198    ,  0      ,110      ,183984076
 3564    ,  0      ,110      ,119896671
 7254    ,  0      ,110      ,226226873
10366    ,  0      ,110      ,339324307
 4367    ,  0      ,110      ,152980236
10716    ,  0      ,110      ,340789455
 9518    ,  0      ,110      ,300313639
 6939    ,  0      ,110      ,224989696
 1964    ,  0      ,110      , 49481250
 2912    ,  0      ,110      , 94309041
 6822    ,  0      ,110      ,222098835
 2107    ,  0      ,110      , 52140201
  674    ,  0      ,110      , 20088942
 3305    ,  0      ,110      ,110669121
 8842    ,  0      ,110      ,292654504
 2425    ,  0      ,110      , 55379731
10728    ,  0      ,110      ,344210727
 2632    ,  0      ,110      , 73748954
 8383    ,  0      ,110      ,270308440
  349    ,  0      ,110      , 15897753
 1549    ,  0      ,110      , 34556632
 3071    ,  0      ,110      ,109947543
 9378    ,  0      ,110      ,298736737
   63    ,  0      ,110      , 15606252
 1801    ,  0      ,110      , 45657950
 2652    ,  0      ,110      , 76800688
 7079    ,  0      ,110      ,225620694
 5941    ,  0      ,110      ,217077840
 9009    ,  0      ,110      ,294501901
10018    ,  0      ,110      ,308175459
 9919    ,  0      ,110      ,305676361
  446    ,  0      ,110      , 16080786
 4535    ,  0      ,110      ,154687847
 2371    ,  0      ,110      , 52787649
 4641    ,  0      ,110      ,157694133
 8551    ,  0      ,110      ,288554437
 9581    ,  0      ,110      ,300870723
 2103    ,  0      ,110      , 52082258
 9223    ,  0      ,110      ,295707249
 6403    ,  1      ,111      ,218701014
 6504    ,  1      ,111      ,218706008
 3974    ,  1      ,111      ,134103131
 3484    ,  1      ,111      ,117624734
 2861    ,  1      ,111      , 91211830
 6098    ,  1      ,111      ,218559431
  890    ,  1      ,111      , 26248868
 6200    ,  1      ,111      ,218690622
 5811    ,  1      ,111      ,215487849
 2499    ,  1      ,111      , 62181078
 8803    ,  1      ,111      ,291618401
 4223    ,  1      ,111      ,148663260
 1281    ,  1      ,111      , 31794577
 3859    ,  1      ,111      ,121639321
 7001    ,  1      ,111      ,224991818
10531    ,  1      ,111      ,339633402
  204    ,  1      ,111      , 15610532
10620    ,  1      ,111      ,340628375
 5136    ,  1      ,111      ,183981170
  769    ,  1      ,111      , 21673016
 6302    ,  1      ,111      ,218696134
