"win_length","x","Q1_sec","Q2_sec","Q3_sec","Q4_sec","A_MIN(Q1,Q2)","A_NORM(Q3)","A_Q1","A_adj_rand_idx","Q1_sec","A_Q2","A_adj_rand_idx","Q2_sec","A_Q3","A_adj_rand_idx","Q3_sec","A_Q4","A_adj_rand_idx","Q4_sec"
20,0,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.011200600,0.000000000,0.50000000,-0.03366250,-0.016831250
20,20,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.010392100,0.000000000,0.50000000,-0.03366250,-0.016831250
20,40,-0.016783786,-0.016783786,-0.006732466,-0.016792403,-0.0167837859,-0.003366233,0.498590000,-0.033662500,-0.016783786,0.498590000,-0.033662500,-0.016783786,0.199999000,-0.033662500,-0.006732466,0.49884600,-0.03366250,-0.016792403
20,60,-0.033442482,-0.033442448,-0.050531789,-0.033580565,-0.0334424482,-0.025265894,0.993464000,-0.033662500,-0.033442482,0.993463000,-0.033662500,-0.033442448,1.501130000,-0.033662500,-0.050531789,0.99756600,-0.03366250,-0.033580565
20,80,-0.047653300,-0.047653300,-0.051834864,-0.047653300,-0.0476533000,-0.025917432,1.000000000,-0.047653300,-0.047653300,1.000000000,-0.047653300,-0.047653300,1.539840000,-0.033662500,-0.051834864,1.00000000,-0.04765330,-0.047653300
20,100,-0.047653300,-0.047653300,-0.054012155,-0.047653300,-0.0476533000,-0.027006077,1.000000000,-0.047653300,-0.047653300,1.000000000,-0.047653300,-0.047653300,1.604520000,-0.033662500,-0.054012155,1.00000000,-0.04765330,-0.047653300
20,120,-0.047653300,-0.047653300,-0.051964465,-0.047653300,-0.0476533000,-0.025982232,1.000000000,-0.047653300,-0.047653300,1.000000000,-0.047653300,-0.047653300,1.543690000,-0.033662500,-0.051964465,1.00000000,-0.04765330,-0.047653300
20,140,-0.047653300,-0.047653300,-0.053878178,-0.047653300,-0.0476533000,-0.026939089,1.000000000,-0.047653300,-0.047653300,1.000000000,-0.047653300,-0.047653300,1.600540000,-0.033662500,-0.053878178,1.00000000,-0.04765330,-0.047653300
20,160,-0.046359751,-0.046359751,-0.048515068,-0.047300046,-0.0463597512,-0.024257534,0.972855000,-0.047653300,-0.046359751,0.972855000,-0.047653300,-0.046359751,1.441220000,-0.033662500,-0.048515068,0.99258700,-0.04765330,-0.047300046
20,180,-0.083860238,-0.083860326,-0.059533478,-0.078939678,-0.0838602381,-0.029766739,0.956071000,-0.087713400,-0.083860238,0.956072000,-0.087713400,-0.083860326,1.768540000,-0.033662500,-0.059533478,0.98835700,-0.07986960,-0.078939678
20,200,-0.065429591,-0.065429591,-0.082904074,-0.068559720,-0.0654295906,-0.041452037,0.926198000,-0.070643200,-0.065429591,0.926198000,-0.070643200,-0.065429591,1.383120000,-0.059939900,-0.082904074,0.97050700,-0.07064320,-0.068559720
20,220,-0.096535172,-0.096535172,-0.130377634,-0.095472849,-0.0965351718,-0.065188817,0.879191000,-0.109800000,-0.096535172,0.879191000,-0.109800000,-0.096535172,1.309320000,-0.099576600,-0.130377634,0.95878800,-0.09957660,-0.095472849
20,240,-0.011315604,-0.008213314,-0.047459907,-0.044445285,-0.0082133142,-0.023729953,0.557235000,-0.020306700,-0.011315604,0.558957000,-0.014694000,-0.008213314,0.851111000,-0.055762300,-0.047459907,0.79704900,-0.05576230,-0.044445285
20,260,0.003720036,-0.034252173,-0.023007808,-0.029538613,0.0037200355,-0.011503904,0.437729000,0.008498490,0.003720036,0.354325000,-0.096668800,-0.034252173,0.517703000,-0.044442100,-0.023007808,0.61986500,-0.04765330,-0.029538613
20,280,-0.014228179,-0.007762909,-0.038463599,-0.018214240,-0.0077629091,-0.019231799,0.298577000,-0.047653300,-0.014228179,0.230610000,-0.033662500,-0.007762909,0.350306000,-0.109800000,-0.038463599,0.54108400,-0.03366250,-0.018214240
20,300,-0.013096497,-0.005924759,-0.027422680,-0.015329667,-0.0059247588,-0.013711340,0.389053000,-0.033662500,-0.013096497,0.192172000,-0.030830500,-0.005924759,0.452950000,-0.060542400,-0.027422680,0.45539300,-0.03366250,-0.015329667
20,320,-0.013819567,-0.027000446,-0.029585555,-0.014416504,-0.0138195671,-0.014792778,0.410533000,-0.033662500,-0.013819567,0.258375000,-0.104501000,-0.027000446,0.493587000,-0.059939900,-0.029585555,0.42826600,-0.03366250,-0.014416504
