AL,NCBI_SEQ_ID,VERS_ACCESS
    0         , 14600670     ,NP_147189.1   
    1         , 14600800     ,NP_147322.1   
    2         , 14600809     ,NP_147332.1   
    3         , 14601141     ,NP_147669.1   
    4         , 14601206     ,NP_147739.1   
    5         , 14601511     ,NP_148051.1   
    6         , 14601580     ,NP_148120.1   
    7         , 14601675     ,NP_148216.1   
    8         , 14601887     ,NP_148431.1   
    9         , 14601969     ,NP_148514.1   
   10         , 14601976     ,NP_148521.1   
   11         , 14601988     ,NP_148533.1   
   12         , 14602026     ,NP_148571.1   
   13         , 14602074     ,NP_148620.1   
   14         , 14602076     ,NP_148623.1   
   15         , 14602137     ,NP_148685.1   
   16         , 14602139     ,NP_148687.1   
   17         , 14602140     ,NP_148688.1   
   18         , 14602141     ,NP_148689.1   
   19         , 15605616     ,NP_212989.1   
   20         , 15605618     ,NP_212991.1   
   21         , 15605619     ,NP_212992.1   
   22         , 15605623     ,NP_212996.1   
   23         , 15605627     ,NP_213001.1   
   24         , 15605640     ,NP_213015.1   
   25         , 15605668     ,NP_213043.1   
   26         , 15605674     ,NP_213049.1   
   27         , 15605676     ,NP_213051.1   
   28         , 15605677     ,NP_213052.1   
   29         , 15605702     ,NP_213079.1   
   30         , 15605705     ,NP_213082.1   
   31         , 15605712     ,NP_213089.1   
   32         , 15605736     ,NP_213113.1   
   33         , 15605749     ,NP_213126.1   
   34         , 15605759     ,NP_213136.1   
   35         , 15605784     ,NP_213161.1   
   36         , 15605793     ,NP_213170.1   
   37         , 15605801     ,NP_213178.1   
   38         , 15605830     ,NP_213207.1   
   39         , 15605831     ,NP_213208.1   
   40         , 15605834     ,NP_213211.1   
   41         , 15605863     ,NP_213240.1   
   42         , 15605873     ,NP_213250.1   
   43         , 15605909     ,NP_213286.1   
   44         , 15605928     ,NP_213305.1   
   45         , 15605949     ,NP_213326.1   
   46         , 15605959     ,NP_213336.1   
   47         , 15605961     ,NP_213338.1   
   48         , 15605973     ,NP_213350.1   
   49         , 15606030     ,NP_213407.1   
   50         , 15606039     ,NP_213416.1   
   51         , 15606086     ,NP_213463.1   
   52         , 15606090     ,NP_213467.1   
   53         , 15606094     ,NP_213471.1   
   54         , 15606112     ,NP_213489.1   
   55         , 15606126     ,NP_213503.1   
   56         , 15606133     ,NP_213510.1   
   57         , 15606137     ,NP_213514.1   
   58         , 15606152     ,NP_213529.1   
   59         , 15606160     ,NP_213537.1   
   60         , 15606174     ,NP_213551.1   
   61         , 15606193     ,NP_213570.1   
   62         , 15606233     ,NP_213611.1   
   63         , 15606252     ,NP_213630.1   
   64         , 15606271     ,NP_213650.1   
   65         , 15606292     ,NP_213671.1   
   66         , 15606299     ,NP_213678.1   
   67         , 15606302     ,NP_213681.1   
   68         , 15606321     ,NP_213700.1   
   69         , 15606347     ,NP_213726.1   
   70         , 15606348     ,NP_213727.1   
   71         , 15606350     ,NP_213729.1   
   72         , 15606400     ,NP_213780.1   
   73         , 15606406     ,NP_213786.1   
   74         , 15606420     ,NP_213800.1   
   75         , 15606423     ,NP_213803.1   
   76         , 15606442     ,NP_213822.1   
   77         , 15606455     ,NP_213835.1   
   78         , 15606473     ,NP_213853.1   
   79         , 15606498     ,NP_213878.1   
   80         , 15606505     ,NP_213885.1   
   81         , 15606507     ,NP_213887.1   
   82         , 15606537     ,NP_213917.1   
   83         , 15606540     ,NP_213920.1   
   84         , 15606541     ,NP_213921.1   
   85         , 15606596     ,NP_213976.1   
   86         , 15606614     ,NP_213994.1   
   87         , 15606649     ,NP_214029.1   
   88         , 15606650     ,NP_214030.1   
   89         , 15606679     ,NP_214059.1   
   90         , 15606687     ,NP_214067.1   
   91         , 15606705     ,NP_214085.1   
   92         , 15606751     ,NP_214131.1   
   93         , 15606753     ,NP_214133.1   
   94         , 15606755     ,NP_214135.1   
   95         , 15606769     ,NP_214149.1   
   96         , 15606775     ,NP_214155.1   
   97         , 15606796     ,NP_214176.1   
   98         , 15606806     ,NP_214186.1   
   99         , 15606818     ,NP_214198.1   
  100         , 15606843     ,NP_214223.1   
  101         , 15606866     ,NP_214246.1   
  102         , 15606878     ,NP_214258.1   
  103         , 15606895     ,NP_214276.1   
  104         , 15606903     ,NP_214284.1   
  105         , 15606928     ,NP_214309.1   
  106         , 15606943     ,NP_214324.1   
  107         , 15606944     ,NP_214326.1   
  108         , 15606949     ,NP_214331.1   
  109         , 15606955     ,NP_214337.1   
  110         , 15607012     ,NP_214394.1   
  111         , 15607015     ,NP_214397.1   
  112         , 15607074     ,NP_214456.1   
  113         , 15607085     ,NP_214467.1   
  114         , 15607092     ,NP_214474.1   
  115         , 15607130     ,NP_214512.1   
  116         , 15607136     ,NP_214325.1   
  117         , 15607147     ,NP_214519.1   
  118         , 15607148     ,NP_214520.1   
  119         , 15607183     ,NP_214555.1   
  120         , 15607212     ,NP_214584.1   
  121         , 15607330     ,NP_214703.1   
  122         , 15607383     ,NP_214756.1   
  123         , 15607389     ,NP_214762.1   
  124         , 15607491     ,NP_214864.1   
  125         , 15607498     ,NP_214871.1   
  126         , 15607570     ,NP_214943.1   
  127         , 15607581     ,NP_214954.1   
  128         , 15607641     ,NP_215014.1   
  129         , 15607650     ,NP_215023.1   
  130         , 15607779     ,NP_215153.1   
  131         , 15607807     ,NP_215181.1   
  132         , 15607827     ,NP_215201.1   
  133         , 15607841     ,NP_215215.1   
  134         , 15607843     ,NP_215217.1   
  135         , 15607844     ,NP_215218.1   
  136         , 15607848     ,NP_215222.1   
  137         , 15607855     ,NP_215229.1   
  138         , 15607859     ,NP_215233.1   
  139         , 15607872     ,NP_215246.1   
  140         , 15607873     ,NP_215247.1   
  141         , 15607912     ,NP_215286.1   
  142         , 15607917     ,NP_215291.1   
  143         , 15607943     ,NP_215318.1   
  144         , 15607948     ,NP_215323.1   
  145         , 15607949     ,NP_215324.1   
  146         , 15608150     ,NP_215526.1   
  147         , 15608163     ,NP_215539.1   
  148         , 15608432     ,NP_215808.1   
  149         , 15608435     ,NP_215811.1   
  150         , 15608444     ,NP_215820.1   
  151         , 15608448     ,NP_215824.1   
  152         , 15608450     ,NP_215826.1   
  153         , 15608451     ,NP_215827.1   
  154         , 15608490     ,NP_215866.1   
  155         , 15608520     ,NP_215896.1   
  156         , 15608521     ,NP_215897.1   
  157         , 15608531     ,NP_215908.1   
  158         , 15608554     ,NP_215932.1   
  159         , 15608558     ,NP_215936.1   
  160         , 15608575     ,NP_215953.1   
  161         , 15608608     ,NP_215986.1   
  162         , 15608674     ,NP_216052.1   
  163         , 15608737     ,NP_216115.1   
  164         , 15608739     ,NP_216117.1   
  165         , 15608740     ,NP_216118.1   
  166         , 15608749     ,NP_216127.1   
  167         , 15608750     ,NP_216128.1   
  168         , 15608751     ,NP_216129.1   
  169         , 15608776     ,NP_216154.1   
  170         , 15608778     ,NP_216156.1   
  171         , 15608788     ,NP_216166.1   
  172         , 15608793     ,NP_216171.1   
  173         , 15608827     ,NP_216205.1   
  174         , 15608837     ,NP_216215.1   
  175         , 15609193     ,NP_216572.1   
  176         , 15609195     ,NP_216574.1   
  177         , 15609267     ,NP_216646.1   
  178         , 15609276     ,NP_216655.1   
  179         , 15609329     ,NP_216708.1   
  180         , 15609480     ,NP_216859.1   
  181         , 15609558     ,NP_216937.1   
  182         , 15609564     ,NP_216943.1   
  183         , 15609585     ,NP_216964.1   
  184         , 15609594     ,NP_216973.1   
  185         , 15609689     ,NP_217068.1   
  186         , 15609692     ,NP_217071.1   
  187         , 15609709     ,NP_217088.1   
  188         , 15609717     ,NP_217096.1   
  189         , 15609729     ,NP_217108.1   
  190         , 15609751     ,NP_217130.1   
  191         , 15609874     ,NP_217253.1   
  192         , 15609890     ,NP_217269.1   
  193         , 15609976     ,NP_217355.1   
  194         , 15609978     ,NP_217357.1   
  195         , 15609982     ,NP_217361.1   
  196         , 15610020     ,NP_217399.1   
  197         , 15610039     ,NP_217418.1   
  198         , 15610146     ,NP_217525.1   
  199         , 15610148     ,NP_217527.1   
  200         , 15610363     ,NP_217744.1   
  201         , 15610411     ,NP_217792.1   
  202         , 15610454     ,NP_217835.1   
  203         , 15610472     ,NP_217853.1   
  204         , 15610532     ,NP_217913.1   
  205         , 15610553     ,NP_217934.1   
  206         , 15610572     ,NP_217953.1   
  207         , 15610593     ,NP_217974.1   
  208         , 15610638     ,NP_218019.1   
  209         , 15610734     ,NP_218115.1   
  210         , 15610844     ,NP_218225.1   
  211         , 15610970     ,NP_218351.1   
  212         , 15672048     ,NP_266222.1   
  213         , 15672075     ,NP_266249.1   
  214         , 15672145     ,NP_266319.1   
  215         , 15672174     ,NP_266348.1   
  216         , 15672227     ,NP_266401.1   
  217         , 15672258     ,NP_266432.1   
  218         , 15672336     ,NP_266510.1   
  219         , 15672355     ,NP_266529.1   
  220         , 15672367     ,NP_266541.1   
  221         , 15672376     ,NP_266550.1   
  222         , 15672468     ,NP_266642.1   
  223         , 15672473     ,NP_266647.1   
  224         , 15672534     ,NP_266708.1   
  225         , 15672535     ,NP_266709.1   
  226         , 15672542     ,NP_266716.1   
  227         , 15672544     ,NP_266718.1   
  228         , 15672583     ,NP_266757.1   
  229         , 15672586     ,NP_266760.1   
  230         , 15672626     ,NP_266800.1   
  231         , 15672649     ,NP_266823.1   
  232         , 15672655     ,NP_266829.1   
  233         , 15672672     ,NP_266846.1   
  234         , 15672746     ,NP_266920.1   
  235         , 15672749     ,NP_266923.1   
  236         , 15672756     ,NP_266930.1   
  237         , 15672776     ,NP_266950.1   
  238         , 15672781     ,NP_266955.1   
  239         , 15672798     ,NP_266972.1   
  240         , 15672822     ,NP_266996.1   
  241         , 15672887     ,NP_267061.1   
  242         , 15672935     ,NP_267109.1   
  243         , 15672936     ,NP_267110.1   
  244         , 15672978     ,NP_267152.1   
  245         , 15672988     ,NP_267162.1   
  246         , 15673050     ,NP_267224.1   
  247         , 15673051     ,NP_267225.1   
  248         , 15673078     ,NP_267252.1   
  249         , 15673081     ,NP_267255.1   
  250         , 15673084     ,NP_267258.1   
  251         , 15673093     ,NP_267267.1   
  252         , 15673133     ,NP_267307.1   
  253         , 15673191     ,NP_267365.1   
  254         , 15673192     ,NP_267366.1   
  255         , 15673194     ,NP_267368.1   
  256         , 15673205     ,NP_267379.1   
  257         , 15673208     ,NP_267382.1   
  258         , 15673275     ,NP_267449.1   
  259         , 15673327     ,NP_267501.1   
  260         , 15673345     ,NP_267519.1   
  261         , 15673444     ,NP_267618.1   
  262         , 15673445     ,NP_267619.1   
  263         , 15673449     ,NP_267623.1   
  264         , 15673468     ,NP_267642.1   
  265         , 15673494     ,NP_267668.1   
  266         , 15673495     ,NP_267669.1   
  267         , 15673506     ,NP_267680.1   
  268         , 15673510     ,NP_267684.1   
  269         , 15673512     ,NP_267686.1   
  270         , 15673584     ,NP_267758.1   
  271         , 15673590     ,NP_267764.1   
  272         , 15673602     ,NP_267776.1   
  273         , 15673604     ,NP_267778.1   
  274         , 15673623     ,NP_267797.1   
  275         , 15673626     ,NP_267800.1   
  276         , 15673694     ,NP_267868.1   
  277         , 15673706     ,NP_267880.1   
  278         , 15673726     ,NP_267900.1   
  279         , 15673739     ,NP_267913.1   
  280         , 15673745     ,NP_267919.1   
  281         , 15673746     ,NP_267920.1   
  282         , 15673748     ,NP_267922.1   
  283         , 15673782     ,NP_267957.1   
  284         , 15673800     ,NP_267975.1   
  285         , 15673833     ,NP_268008.1   
  286         , 15673845     ,NP_268020.1   
  287         , 15673866     ,NP_268041.1   
  288         , 15673884     ,NP_268059.1   
  289         , 15673893     ,NP_268068.1   
  290         , 15673910     ,NP_268085.1   
  291         , 15673911     ,NP_268086.1   
  292         , 15673934     ,NP_268109.1   
  293         , 15673947     ,NP_268122.1   
  294         , 15673949     ,NP_268124.1   
  295         , 15673961     ,NP_268136.1   
  296         , 15673992     ,NP_268167.1   
  297         , 15674035     ,NP_268210.1   
  298         , 15674050     ,NP_268225.1   
  299         , 15674059     ,NP_268234.1   
  300         , 15674060     ,NP_268235.1   
  301         , 15674065     ,NP_268240.1   
  302         , 15674068     ,NP_268243.1   
  303         , 15674070     ,NP_268245.1   
  304         , 15674074     ,NP_268249.1   
  305         , 15674078     ,NP_268253.1   
  306         , 15674079     ,NP_268254.1   
  307         , 15674081     ,NP_268256.1   
  308         , 15674086     ,NP_268261.1   
  309         , 15674088     ,NP_268263.1   
  310         , 15674109     ,NP_268284.1   
  311         , 15674155     ,NP_268330.1   
  312         , 15674188     ,NP_268363.1   
  313         , 15674206     ,NP_268381.1   
  314         , 15897053     ,NP_341658.1   
  315         , 15897055     ,NP_341660.1   
  316         , 15897061     ,NP_341666.1   
  317         , 15897111     ,NP_341716.1   
  318         , 15897131     ,NP_341736.1   
  319         , 15897152     ,NP_341757.1   
  320         , 15897168     ,NP_341773.1   
  321         , 15897175     ,NP_341780.1   
  322         , 15897180     ,NP_341785.1   
  323         , 15897185     ,NP_341790.1   
  324         , 15897188     ,NP_341793.1   
  325         , 15897222     ,NP_341827.1   
  326         , 15897248     ,NP_341853.1   
  327         , 15897251     ,NP_341856.1   
  328         , 15897276     ,NP_341881.1   
  329         , 15897334     ,NP_341939.1   
  330         , 15897420     ,NP_342025.1   
  331         , 15897428     ,NP_342033.1   
  332         , 15897452     ,NP_342057.1   
  333         , 15897455     ,NP_342060.1   
  334         , 15897507     ,NP_342112.1   
  335         , 15897512     ,NP_342117.1   
  336         , 15897514     ,NP_342119.1   
  337         , 15897516     ,NP_342121.1   
  338         , 15897519     ,NP_342124.1   
  339         , 15897527     ,NP_342132.1   
  340         , 15897530     ,NP_342135.1   
  341         , 15897532     ,NP_342137.1   
  342         , 15897545     ,NP_342150.1   
  343         , 15897548     ,NP_342153.1   
  344         , 15897549     ,NP_342154.1   
  345         , 15897554     ,NP_342159.1   
  346         , 15897621     ,NP_342226.1   
  347         , 15897625     ,NP_342230.1   
  348         , 15897649     ,NP_342254.1   
  349         , 15897753     ,NP_342358.1   
  350         , 15897776     ,NP_342381.1   
  351         , 15897777     ,NP_342382.1   
  352         , 15897778     ,NP_342383.1   
  353         , 15897782     ,NP_342387.1   
  354         , 15897784     ,NP_342389.1   
  355         , 15897800     ,NP_342405.1   
  356         , 15897836     ,NP_342441.1   
  357         , 15897855     ,NP_342460.1   
  358         , 15897932     ,NP_342537.1   
  359         , 15898952     ,NP_343557.1   
  360         , 15898980     ,NP_343585.1   
  361         , 15899047     ,NP_343652.1   
  362         , 15899056     ,NP_343661.1   
  363         , 15899114     ,NP_343719.1   
  364         , 15899137     ,NP_343742.1   
  365         , 15899196     ,NP_343801.1   
  366         , 15899227     ,NP_343832.1   
  367         , 15899239     ,NP_343844.1   
  368         , 15899712     ,NP_344317.1   
  369         , 15899814     ,NP_344419.1   
  370         , 15899931     ,NP_344536.1   
  371         , 16077074     ,NP_387887.1   
  372         , 16077075     ,NP_387888.1   
  373         , 16077081     ,NP_387894.1   
  374         , 16077110     ,NP_387923.1   
  375         , 16077150     ,NP_387963.1   
  376         , 16077160     ,NP_387973.1   
  377         , 16077162     ,NP_387975.1   
  378         , 16077167     ,NP_387980.1   
  379         , 16077169     ,NP_387982.1   
  380         , 16077184     ,NP_387997.1   
  381         , 16077191     ,NP_388004.1   
  382         , 16077195     ,NP_388008.1   
  383         , 16077197     ,NP_388010.1   
  384         , 16077199     ,NP_388012.1   
  385         , 16077204     ,NP_388017.1   
  386         , 16077205     ,NP_388018.1   
  387         , 16077211     ,NP_388024.1   
  388         , 16077246     ,NP_388059.1   
  389         , 16077382     ,NP_388195.1   
  390         , 16077670     ,NP_388484.1   
  391         , 16077710     ,NP_388524.1   
  392         , 16077712     ,NP_388526.1   
  393         , 16077721     ,NP_388535.1   
  394         , 16077736     ,NP_388550.1   
  395         , 16077953     ,NP_388768.1   
  396         , 16078207     ,NP_389024.1   
  397         , 16078208     ,NP_389025.1   
  398         , 16078520     ,NP_389339.1   
  399         , 16078616     ,NP_389435.1   
  400         , 16078619     ,NP_389438.1   
  401         , 16078620     ,NP_389439.1   
  402         , 16078635     ,NP_389454.1   
  403         , 16078645     ,NP_389464.1   
  404         , 16078654     ,NP_389473.1   
  405         , 16078669     ,NP_389488.1   
  406         , 16078720     ,NP_389539.1   
  407         , 16078723     ,NP_389542.1   
  408         , 16078726     ,NP_389545.1   
  409         , 16078738     ,NP_389557.1   
  410         , 16078740     ,NP_389559.1   
  411         , 16078911     ,NP_389732.1   
  412         , 16079320     ,NP_390144.1   
  413         , 16079382     ,NP_390206.1   
  414         , 16079601     ,NP_390425.1   
  415         , 16079602     ,NP_390426.1   
  416         , 16079618     ,NP_390442.1   
  417         , 16079794     ,NP_390618.1   
  418         , 16079809     ,NP_390633.1   
  419         , 16079810     ,NP_390634.1   
  420         , 16079869     ,NP_390695.1   
  421         , 16079881     ,NP_390707.1   
  422         , 16079902     ,NP_390728.1   
  423         , 16079915     ,NP_390741.1   
  424         , 16079916     ,NP_390742.1   
  425         , 16079947     ,NP_390773.1   
  426         , 16079994     ,NP_390820.1   
  427         , 16080019     ,NP_390845.1   
  428         , 16080084     ,NP_390910.1   
  429         , 16080107     ,NP_390933.1   
  430         , 16080278     ,NP_391105.1   
  431         , 16080443     ,NP_391270.1   
  432         , 16080446     ,NP_391273.1   
  433         , 16080507     ,NP_391334.1   
  434         , 16080532     ,NP_391359.1   
  435         , 16080542     ,NP_391369.1   
  436         , 16080543     ,NP_391370.1   
  437         , 16080544     ,NP_391371.1   
  438         , 16080569     ,NP_391396.1   
  439         , 16080570     ,NP_391397.1   
  440         , 16080733     ,NP_391561.1   
  441         , 16080734     ,NP_391562.1   
  442         , 16080736     ,NP_391564.1   
  443         , 16080740     ,NP_391568.1   
  444         , 16080743     ,NP_391571.1   
  445         , 16080768     ,NP_391596.1   
  446         , 16080786     ,NP_391614.1   
  447         , 16080937     ,NP_391765.1   
  448         , 16081094     ,NP_391922.1   
  449         , 16128008     ,NP_414555.1   
  450         , 16128009     ,NP_414556.1   
  451         , 16128020     ,NP_414567.1   
  452         , 16128027     ,NP_414574.1   
  453         , 16128161     ,NP_414710.1   
  454         , 16128164     ,NP_414713.1   
  455         , 16128176     ,NP_414725.1   
  456         , 16128187     ,NP_414736.1   
  457         , 16128229     ,NP_414778.1   
  458         , 16128371     ,NP_414920.1   
  459         , 16128422     ,NP_414971.1   
  460         , 16128423     ,NP_414972.1   
