grpidx_i,grpidx_j,i_size,j_size,locseqidx_i,locseqidx_j,grpid_i,grpid_j,seqid_i,seqid_j,val,pval,dXX,dYY,dXY,flE
0,0,9,9,0,0,1,1,121637224,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,0,1,1,1,121637224,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.58993
0,0,9,9,0,2,1,1,121637224,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.31223
0,0,9,9,0,3,1,1,121637224,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.33525
0,0,9,9,0,4,1,1,121637224,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.39712
0,0,9,9,0,5,1,1,121637224,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.34101
0,0,9,9,0,6,1,1,121637224,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.32662
0,0,9,9,0,7,1,1,121637224,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.33094
0,0,9,9,0,8,1,1,121637224,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.33525
0,0,9,9,1,0,1,1,134102733,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.58993
0,0,9,9,1,1,1,1,134102733,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,1,2,1,1,134102733,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.58129
0,0,9,9,1,3,1,1,134102733,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.61007
0,0,9,9,1,4,1,1,134102733,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.60576
0,0,9,9,1,5,1,1,134102733,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.58561
0,0,9,9,1,6,1,1,134102733,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.59856
0,0,9,9,1,7,1,1,134102733,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.58993
0,0,9,9,1,8,1,1,134102733,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.59137
0,0,9,9,2,0,1,1,148661083,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.31223
0,0,9,9,2,1,1,1,148661083,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.58129
0,0,9,9,2,2,1,1,148661083,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,2,3,1,1,148661083,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.32950
0,0,9,9,2,4,1,1,148661083,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.41151
0,0,9,9,2,5,1,1,148661083,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.33813
0,0,9,9,2,6,1,1,148661083,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.33381
0,0,9,9,2,7,1,1,148661083,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.31942
0,0,9,9,2,8,1,1,148661083,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.32374
0,0,9,9,3,0,1,1,15608435,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.33525
0,0,9,9,3,1,1,1,15608435,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.61007
0,0,9,9,3,2,1,1,15608435,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.32950
0,0,9,9,3,3,1,1,15608435,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,3,4,1,1,15608435,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.42014
0,0,9,9,3,5,1,1,15608435,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.36403
0,0,9,9,3,6,1,1,15608435,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.34964
0,0,9,9,3,7,1,1,15608435,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.32950
0,0,9,9,3,8,1,1,15608435,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.34388
0,0,9,9,4,0,1,1,183984073,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.39712
0,0,9,9,4,1,1,1,183984073,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.60576
0,0,9,9,4,2,1,1,183984073,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.41151
0,0,9,9,4,3,1,1,183984073,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.42014
0,0,9,9,4,4,1,1,183984073,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,4,5,1,1,183984073,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.43309
0,0,9,9,4,6,1,1,183984073,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.41295
0,0,9,9,4,7,1,1,183984073,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.41727
0,0,9,9,4,8,1,1,183984073,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.39856
0,0,9,9,5,0,1,1,224989699,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.34101
0,0,9,9,5,1,1,1,224989699,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.58561
0,0,9,9,5,2,1,1,224989699,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.33813
0,0,9,9,5,3,1,1,224989699,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.36403
0,0,9,9,5,4,1,1,224989699,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.43309
0,0,9,9,5,5,1,1,224989699,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,5,6,1,1,224989699,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.33669
0,0,9,9,5,7,1,1,224989699,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.34101
0,0,9,9,5,8,1,1,224989699,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.34532
0,0,9,9,6,0,1,1,31792488,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.32662
0,0,9,9,6,1,1,1,31792488,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.59856
0,0,9,9,6,2,1,1,31792488,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.33381
0,0,9,9,6,3,1,1,31792488,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.34964
0,0,9,9,6,4,1,1,31792488,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.41295
0,0,9,9,6,5,1,1,31792488,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.33669
0,0,9,9,6,6,1,1,31792488,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,6,7,1,1,31792488,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.33237
0,0,9,9,6,8,1,1,31792488,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.33237
0,0,9,9,7,0,1,1,339631364,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.33094
0,0,9,9,7,1,1,1,339631364,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.58993
0,0,9,9,7,2,1,1,339631364,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.31942
0,0,9,9,7,3,1,1,339631364,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.32950
0,0,9,9,7,4,1,1,339631364,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.41727
0,0,9,9,7,5,1,1,339631364,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.34101
0,0,9,9,7,6,1,1,339631364,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.33237
0,0,9,9,7,7,1,1,339631364,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,0,9,9,7,8,1,1,339631364,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.32518
0,0,9,9,8,0,1,1,340626311,121637224,0.00000,1.00000,0.36672,0.36672,0.36672,0.33525
0,0,9,9,8,1,1,1,340626311,134102733,0.00000,1.00000,0.36672,0.36672,0.36672,0.59137
0,0,9,9,8,2,1,1,340626311,148661083,0.00000,1.00000,0.36672,0.36672,0.36672,0.32374
0,0,9,9,8,3,1,1,340626311,15608435,0.00000,1.00000,0.36672,0.36672,0.36672,0.34388
0,0,9,9,8,4,1,1,340626311,183984073,0.00000,1.00000,0.36672,0.36672,0.36672,0.39856
0,0,9,9,8,5,1,1,340626311,224989699,0.00000,1.00000,0.36672,0.36672,0.36672,0.34532
0,0,9,9,8,6,1,1,340626311,31792488,0.00000,1.00000,0.36672,0.36672,0.36672,0.33237
0,0,9,9,8,7,1,1,340626311,339631364,0.00000,1.00000,0.36672,0.36672,0.36672,0.32518
0,0,9,9,8,8,1,1,340626311,340626311,0.00000,1.00000,0.36672,0.36672,0.36672,0.00000
0,1,9,2,0,0,1,7,121637224,270308375,0.00000,1.00000,0.36672,0.37512,0.71098,0.64173
0,1,9,2,0,1,1,7,121637224,73748894,0.00000,1.00000,0.36672,0.37512,0.71098,0.70072
0,1,9,2,1,0,1,7,134102733,270308375,0.00000,1.00000,0.36672,0.37512,0.71098,0.57266
0,1,9,2,1,1,1,7,134102733,73748894,0.00000,1.00000,0.36672,0.37512,0.71098,0.68058
0,1,9,2,2,0,1,7,148661083,270308375,0.00000,1.00000,0.36672,0.37512,0.71098,0.64604
0,1,9,2,2,1,1,7,148661083,73748894,0.00000,1.00000,0.36672,0.37512,0.71098,0.70935
0,1,9,2,3,0,1,7,15608435,270308375,0.00000,1.00000,0.36672,0.37512,0.71098,0.64317
0,1,9,2,3,1,1,7,15608435,73748894,0.00000,1.00000,0.36672,0.37512,0.71098,0.69209
