win_length,x,dXY,dXY_inv,vX,vX_inv,vY,vY_inv,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,nx,ny,gap_prop,A_dXY,A_dXY_inv,A_vX,A_vX_inv,A_vY,A_vY_inv,A_Q0,A_Q1,A_Q2,A_Q3,A_Q4,A_Q5,A_Q6,A_Q7,A_nx,A_ny,A_rand_idx,A_adj_rand_idx,A_ham_idx
20,0,0.0136986,0,0,0,0.0273973,0,0.0136056,0.0136986,-0.0136986,0,0.0136986,0.0273973,0,0,7,73,0.9875,0.5,0,0,0,1,0,0.405465,0.5,-0.5,0,0.5,1,0,0,78,2,0.797785,-0.0364176,0.1125
20,20,0.0136986,0,0,0,0.0273973,0,0.0136056,0.0136986,-0.0136986,0,0.0136986,0.0273973,0,0,7,73,0.9875,0.5,0,0,0,1,0,0.405465,0.5,-0.5,0,0.5,1,0,0,78,2,0.797785,-0.0364176,0.1125
20,40,0.0138356,0,0,0,0.0275951,0,0.0137408,0.0138356,-0.0137595,7.60984e-05,0.0138356,0.0275951,0,0,7,73,0.98625,0.498846,0,0.00025641,0,1,0,0.404525,0.49859,-0.501154,-0.00256366,0.498846,0.999744,0.00025641,0,78,2,0.797785,-0.0364176,0.1125
20,60,0.029589,0,0,0,0.0583372,0,0.0291597,0.029589,-0.0287482,0.00084088,0.029589,0.0583372,0,0,7,73,0.97,0.997566,0,0.490001,0,0.00410256,0,0.410496,0.507565,0.993463,1.50103,0.997566,0.485899,119.438,0,2,78,0.797785,-0.0364176,0.1125
20,80,0.0410959,0,0,0,0.0804737,0,0.0402739,0.0410959,-0.0393779,0.00171804,0.0410959,0.0804737,0,0,7,73,0.9625,1,0,0,0,0.495,0,0.693147,1,0.505,1.505,1,0.495,0,0,77,3,0.778481,-0.0490184,0.125
20,100,0.0410959,0,0,0,0.0805146,0,0.0402739,0.0410959,-0.0394188,0.00167713,0.0410959,0.0805146,0,0,7,73,0.9625,1,0,0.530833,0,0,0,0.384695,0.469167,1,1.46917,1,0.530833,inf,0,3,77,0.778481,-0.0490184,0.125
20,120,0.0410959,0,0,0,0.0805879,0,0.0402739,0.0410959,-0.039492,0.00160388,0.0410959,0.0805879,0,0,7,73,0.9625,1,0,0,0,0.595001,0,0.693147,1,0.404999,1.405,1,0.595001,0,0,77,3,0.778481,-0.0490184,0.125
20,140,0.0410959,0,0,0,0.0803967,0,0.0402739,0.0410959,-0.0393008,0.00179509,0.0410959,0.0803967,0,0,7,73,0.9625,1,0,0.4275,0,0,0,0.452667,0.5725,1,1.5725,1,0.4275,inf,0,3,77,0.778481,-0.0490184,0.125
20,160,0.0515753,0,0,0,0.0998326,0,0.0502893,0.0515753,-0.0482572,0.00331812,0.0515753,0.0998326,0,0,7,73,0.9475,0.992587,0,0.564163,0,0.0197317,0,0.356571,0.428424,0.972855,1.40128,0.992587,0.544432,28.5917,0,3,77,0.778481,-0.0490184,0.125
20,180,0.1,0,0,0,0.186356,0,0.0953102,0.1,-0.0863564,0.0136436,0.1,0.186356,0,0,7,73,0.905,0.988357,0,0.512833,0,0.0349214,0,0.389013,0.475524,0.953436,1.42896,0.988357,0.477912,14.6854,0,6,74,0.724367,-0.0734499,0.1625
