win_length,x,dXY,dXY_inv,vX,vX_inv,vY,vY_inv,q1,nx,ny
9,0,0.0493827,0,2.21307e-17,0,1.62348e-16,0,0.0493827,43,38,0
9,1,0.0493827,0,8.11459e-18,0,-5.24948e-16,0,0.0493827,43,38,0
9,2,0.0123457,0,-2.00567e-17,0,4.67203e-18,0,0.0123457,38,43,0
9,3,0.0123457,0,-5.9384e-17,0,-3.63231e-18,0,0.0123457,43,38,0
9,4,0.0123457,0,2.75941e-18,0,3.66828e-17,0,0.0123457,62,19,0
9,5,0.0123457,0,2.05488e-18,0,5.22649e-17,0,0.0123457,62,19,0
9,6,0.0123457,0,4.05105e-18,0,4.18768e-17,0,0.0123457,62,19,0
9,7,0.0123457,0,2.46586e-18,0,3.14888e-17,0,0.0123457,62,19,0
9,8,0.0123457,0,7.63242e-19,0,8.3429e-17,0,0.0123457,62,19,0
9,9,0.0216049,0,0.00469136,0,1.53211e-15,0,0.0169136,76,5,0
9,10,0.0216049,0,0.00469136,0,2.37588e-15,0,0.0169136,76,5,0
9,11,0.0153325,0,0.00186067,0,-7.15477e-16,0,0.0134719,62,19,0
9,12,0.0216049,0,0.00469136,0,1.7597e-15,0,0.0169136,76,5,0
9,13,0.0123457,0,0,0,-1.05471e-16,0,0.0123457,76,5,0
9,14,0.0123457,0,-2.33731e-19,0,-1.05471e-16,0,0.0123457,76,5,0
9,15,0.012833,0,0.000324886,0,7.77156e-17,0,0.0125081,76,5,0
9,16,0.012833,0,0.000324886,0,1.22125e-16,0,0.0125081,76,5,0
9,17,0.012833,0,0.000324886,0,-1.11022e-17,0,0.0125081,76,5,0
9,18,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,19,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,20,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,21,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,22,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,23,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,24,0,0,0,0,0,0,0,42,39,0
9,25,0,0,0,0,0,0,0,45,36,0
9,26,0,0,0,0,0,0,0,34,47,0
9,27,0,0,0,0,0,0,0,48,33,0
9,28,0,0,0,0,0,0,0,42,39,0
9,29,0,0,0,0,0,0,0,42,39,0
9,30,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,31,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,32,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,33,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,34,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,35,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,36,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,37,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,38,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,39,0,0,0,0,0,0,0,35,46,0
9,40,0,0,0,0,0,0,0,38,43,0
9,41,0,0,0,0,0,0,0,41,40,0
9,42,0,0,0,0,0,0,0,42,39,0
9,43,0,0,0,0,0,0,0,43,38,0
9,44,0,0,0,0,0,0,0,46,35,0
9,45,0,0,0,0,0,0,0,44,37,0
9,46,0,0,0,0,0,0,0,46,35,0
9,47,0,0,0,0,0,0,0,33,48,0
