win_length,x,dXY,dXY_inv,vX,vX_inv,vY,vY_inv,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,nx,ny,gap_prop,A_dXY,A_dXY_inv,A_vX,A_vX_inv,A_vY,A_vY_inv,A_Q0,A_Q1,A_Q2,A_Q3,A_Q4,A_Q5,A_Q6,A_Q7,A_nx,A_ny,A_rand_idx,A_adj_rand_idx,A_ham_idx
9,0,0.0245946,0,0.0250982,0,0.0254293,0,-0.000503786,-0.000503646,-0.000834756,-0.0013384,0.0245946,0.000331109,0.986979,0,51,30,0,0.0493828,0,1.18549e-07,0,2.27227e-08,0,0.0482021,0.0493827,0.0493827,0.0987654,0.0493828,9.58265e-08,5.21722,0,43,38,0.493827,-0.0118599,0.493827
9,9,0.0063907,0,0.00755265,0,0.00499503,0,-0.00116261,-0.00116195,0.00139567,0.000233724,0.0063907,0.00255762,1.51203,0,51,30,0,0.021605,0,-1.63913e-08,0,0.00469135,0,0.0213749,0.021605,0.0169136,0.0385186,0.021605,0.00469137,3.49394e-06,0,5,76,0.503086,-0.0379656,0.432099
9,18,0.000242072,0,0.000484144,0,0,0,-0.000242084,-0.000242072,0.000242072,2.91038e-11,0.000242072,0.000484144,inf,0,51,30,0,0.00617284,0,0.0123457,0,0,0,-0.00619197,-0.00617288,0.00617284,-4.28408e-08,0.00617284,0.0123457,inf,0,2,79,0.516049,-0.0189905,0.395062
9,27,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,47,34,0.511111,0.021484,0.407407
9,36,0.000411522,0,0,0,0.000823045,0,0.000411426,0.000411522,-0.000411523,-5.82077e-11,0.000411522,0.000823045,0,0,51,30,0,0.00617284,0,0.0123457,0,0,0,-0.00619191,-0.00617285,0.00617284,-1.30385e-08,0.00617284,0.0123457,inf,0,2,79,0.541975,0.0355982,0.345679
9,45,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,45,36,0.50679,0.0135802,0.419753
9,54,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,41,40,0.494444,-0.0104181,0.481481
9,63,0.00397,0,0.00478337,0,0.00170285,0,-0.000813696,-0.00081337,0.00226715,0.00145378,0.00397,0.00308052,2.80904,0,51,30,0,0.0143775,0,0.0493943,0,0.00343804,0,-0.0356446,-0.0350168,0.0109395,-0.0240773,0.0143775,0.0459563,14.367,0,2,79,0.527778,0.00570438,0.37037
9,72,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,33,48,0.493827,-0.013597,0.493827
9,81,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,41,40,0.5,0.000685401,0.444444
9,90,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,49,32,0.50679,0.0118181,0.419753
9,99,0.000669733,0,0.000484144,0,0.000823045,0,0.000185592,0.000185588,-0.000153312,3.22761e-05,0.000669733,0.000338901,0.588235,0,51,30,0,0.0123457,0,0,0,0.0493827,0,0.0122701,0.0123457,-0.0370371,-0.0246914,0.0123457,0.0493827,0,0,79,2,0.527778,0.00570438,0.37037
9,108,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,39,42,0.516049,0.0326959,0.395062
9,117,0.00779468,0,0.00824012,0,0.00735067,0,-0.000445465,-0.000445437,0.000444014,-1.42353e-06,0.00779468,0.000889451,1.121,0,51,30,0,0.0123456,0,3.32083e-08,0,0.00568652,0,0.0122701,0.0123456,0.00665912,0.0190047,0.0123456,0.00568648,5.83983e-06,0,36,45,0.50679,0.0135802,0.419753
9,126,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,36,45,0.493827,-0.0123457,0.493827
9,135,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,40,41,0.494444,-0.0104181,0.481481
9,144,0.00478499,0,0.000948922,0,0.00797504,0,0.0038287,0.00383607,-0.00319005,0.000646019,0.00478499,0.00702611,0.118987,0,51,30,0,0.017503,0,3.27826e-06,0,0.00299726,0,0.0173483,0.0174997,0.0145057,0.0320055,0.017503,0.00299399,0.00109375,0,2,79,0.541975,0.0355982,0.345679
9,153,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,34,47,0.50679,0.0128355,0.419753
9,162,0.125425,0,0.048705,0,0.125897,0,0.0739198,0.0767204,-0.000472009,0.0762484,0.125425,0.0771925,0.386862,0,51,30,0,0.277052,0,2.18321e-06,0,0.0280298,0,0.244553,0.27705,0.249022,0.526072,0.277052,0.0280276,7.7889e-05,0,13,68,0.567901,0.113425,0.308642
9,171,0.0198662,0,0.00948924,0,0.0197531,0,0.0103236,0.010377,0.000113124,0.0104901,0.0198662,0.0102639,0.480392,0,51,30,0,0.0374005,0,0.00791251,0,2.20843e-07,0,0.0290616,0.0294879,0.0374002,0.0668882,0.0374005,0.00791229,35828.7,0,68,13,0.588272,0.155221,0.283951
9,180,0.00242073,0,0.000958605,0,0.00354761,0,0.00146115,0.00146213,-0.00112688,0.000335249,0.00242073,0.002589,0.270212,0,51,30,0,0.0123457,0,-1.78814e-08,0,0.000329218,0,0.0122701,0.0123457,0.0120165,0.0243622,0.0123457,0.000329236,5.43148e-05,0,6,75,0.558642,0.0803858,0.320988
9,189,0.002219,0,0.000484144,0,0.00354761,0,0.00173335,0.00173486,-0.0013286,0.000406253,0.002219,0.00306346,0.136471,0,51,30,0,0.0123457,0,-4.29583e-11,0,-2.78155e-08,0,0.0122701,0.0123457,0.0123457,0.0246914,0.0123457,2.77725e-08,0.0015444,0,75,6,0.558642,0.0803858,0.320988
9,198,0.002219,0,0.000484144,0,0.00354761,0,0.00173335,0.00173486,-0.0013286,0.000406253,0.002219,0.00306346,0.136471,0,51,30,0,0.0123457,0,0,0,1.86761e-07,0,0.0122701,0.0123457,0.0123455,0.0246912,0.0123457,1.86761e-07,0,0,75,6,0.558642,0.0803858,0.320988
9,207,0.000411522,0,0,0,0.000823045,0,0.000411426,0.000411522,-0.000411523,-5.82077e-11,0.000411522,0.000823045,0,0,51,30,0,0.00617284,0,0.0123457,0,0,0,-0.00619191,-0.00617285,0.00617284,-1.30385e-08,0.00617284,0.0123457,inf,0,2,79,0.541975,0.0355982,0.345679
9,216,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,44,37,0.493827,-0.012068,0.493827
9,225,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,35,46,0.493827,-0.012693,0.493827
9,234,0.000411522,0,0,0,0.000823045,0,0.000411426,0.000411522,-0.000411523,-5.82077e-11,0.000411522,0.000823045,0,0,51,30,0,0.00617284,0,0.0123457,0,0,0,-0.00619197,-0.00617288,0.00617284,-4.28408e-08,0.00617284,0.0123457,inf,0,2,79,0.541975,0.0355982,0.345679
9,243,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,45,36,0.497531,-0.00493827,0.45679
9,252,0.0131687,0,0,0,0.0254293,0,0.0130827,0.0131687,-0.0122605,0.000908185,0.0131687,0.0254293,0,0,51,30,0,0.197531,0,1.19209e-07,0,0,0,0.180262,0.197531,0.197531,0.395061,0.197531,1.19209e-07,inf,0,2,79,0.541975,0.0355982,0.345679
9,261,0.00329218,0,0,0,0.00635731,0,0.0032868,0.00329218,-0.00306513,0.000227046,0.00329218,0.00635731,0,0,51,30,0,0.0493827,0,2.98023e-08,0,0,0,0.0482021,0.0493827,0.0493827,0.0987654,0.0493827,2.98023e-08,inf,0,2,79,0.541975,0.0355982,0.345679
9,270,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,35,46,0.494444,-0.011458,0.481481
9,279,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,41,40,0.495679,-0.00795065,0.469136
9,288,0.00123457,0,0,0,0.00229885,0,0.00123377,0.00123457,-0.00106428,0.000170285,0.00123457,0.00229885,0,0,51,30,0,0.0123457,0,0,0,-8.9407e-08,0,0.0122701,0.0123457,0.0123458,0.0246915,0.0123457,8.9407e-08,0,0,78,3,0.55,0.0550875,0.333333
9,297,0.000411522,0,0,0,0.000823045,0,0.000411426,0.000411522,-0.000411523,-5.82077e-11,0.000411522,0.000823045,0,0,51,30,0,0.00617284,0,0,0,0.0123457,0,0.00615392,0.00617284,-0.00617285,-1.30385e-08,0.00617284,0.0123457,0,0,79,2,0.527778,0.00570438,0.37037
9,306,0.00363109,0,0.00693297,0,0,0,-0.00330732,-0.00330187,0.00363109,0.000329219,0.00363109,0.00693297,inf,0,51,30,0,0.0314895,0,0.111127,0,0.0030213,0,-0.0829876,-0.0796374,0.0284682,-0.0511692,0.0314895,0.108106,36.7811,0,2,79,0.516049,-0.0189905,0.395062
9,315,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,42,39,0.497531,-0.00431832,0.45679
9,324,0.00425243,0,0.00397,0,0.0047396,0,0.000282367,0.000282423,-0.000487178,-0.000204755,0.00425243,0.0007696,0.837623,0,51,30,0,0.0123457,0,0.000379867,0,1.72605e-07,0,0.0118948,0.0119659,0.0123456,0.0243114,0.0123457,0.000379694,2200.78,0,65,16,0.50679,-0.00643807,0.419753
9,333,0.000645525,0,0.000484144,0,0.000823045,0,0.000161396,0.000161381,-0.00017752,-1.61382e-05,0.000645525,0.000338901,0.588235,0,51,30,0,0.0123457,0,0,0,0.0123457,0,0.0122701,0.0123457,-1.30385e-08,0.0123457,0.0123457,0.0123457,0,0,79,2,0.527778,0.00570438,0.37037
9,342,0.00286453,0,0.00222707,0,0.00354761,0,0.000637209,0.000637465,-0.000683073,-4.56085e-05,0.00286453,0.00132054,0.627766,0,51,30,0,0.0123457,0,-9.59431e-11,0,8.24531e-08,0,0.0122701,0.0123457,0.0123456,0.0246914,0.0123457,8.2549e-08,0.00116361,0,71,10,0.527778,0.0251327,0.37037
9,351,0.00229969,0,0.002382,0,0.00229885,0,-8.23174e-05,-8.23031e-05,8.4308e-07,-8.146e-05,0.00229969,8.31462e-05,1.03617,0,51,30,0,0.0132835,0,0.0493822,0,0.00175508,0,-0.0367663,-0.0360987,0.0115284,-0.0245703,0.0132835,0.0476271,28.1367,0,2,79,0.527778,0.00570438,0.37037
9,360,0.000242072,0,0.000484144,0,0,0,-0.000242084,-0.000242072,0.000242072,2.91038e-11,0.000242072,0.000484144,inf,0,51,30,0,0.00617284,0,0,0,0.0123457,0,0.00615392,0.00617284,-0.00617288,-4.28408e-08,0.00617284,0.0123457,0,0,79,2,0.527778,0.00570438,0.37037
9,369,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,48,33,0.5,-0.00123609,0.444444
9,378,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,48,33,0.511111,0.0210136,0.407407
9,387,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,51,30,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,43,38,0.495679,-0.00815795,0.469136
9,396,0.000242072,0,0.000484144,0,0,0,-0.000242084,-0.000242072,0.000242072,2.91038e-11,0.000242072,0.000484144,inf,0,51,30,0,0.00617284,0,0,0,0.0123457,0,0.00615392,0.00617284,-0.00617288,-4.28408e-08,0.00617284,0.0123457,0,0,79,2,0.527778,0.00570438,0.37037
9,405,0.000927943,0,0.000948922,0,0.000823045,0,-2.09811e-05,-2.09796e-05,0.000104898,8.39182e-05,0.000927943,0.000125877,1.15294,0,51,30,0,0.0128145,0,-4.47035e-08,0,0.000312549,0,0.0127331,0.0128145,0.0125019,0.0253165,0.0128145,0.000312593,0.000143029,0,2,79,0.516049,-0.0189905,0.395062
9,414,0.00334867,0,0.00245945,0,0.00354761,0,0.000888906,0.000889218,-0.000198935,0.000690283,0.00334867,0.00108815,0.693271,0,51,30,0,0.0324271,0,0.0014826,0,0.111114,0,0.0304753,0.0309445,-0.0786871,-0.0477426,0.0324271,0.109632,0.0133431,0,79,2,0.527778,0.00570438,0.37037
9,423,0.0416688,0,0.0127136,0,0.0599972,0,0.0285438,0.0289551,-0.0183284,0.0106267,0.0416688,0.0472835,0.211904,0,51,30,0,0.20033,0,0.00573462,0,6.83467e-07,0,0.177807,0.194595,0.200329,0.394924,0.20033,0.00573394,8390.49,0,75,6,0.558642,0.0803858,0.320988
9,432,0.0166789,0,0.00383442,0,0.0233007,0,0.0127627,0.0128444,-0.00662185,0.00622259,0.0166789,0.0194663,0.164562,0,51,30,0,0.0508078,0,-8.9407e-07,0,0.00954191,0,0.04956,0.0508087,0.0412659,0.0920745,0.0508078,0.0095428,9.36993e-05,0,3,78,0.55,0.0550875,0.333333
9,441,0.00307433,0,0.000484144,0,0.00581808,0,0.00258683,0.00259019,-0.00274375,-0.000153565,0.00307433,0.00533394,0.0832137,0,51,30,0,0.0151588,0,0.049383,0,0.00175508,0,-0.0348236,-0.0342242,0.0134037,-0.0208206,0.0151588,0.0476279,28.1372,0,2,79,0.541975,0.0355982,0.345679
9,450,0.00656014,0,0.0080755,0,0.00456932,0,-0.00151654,-0.00151535,0.00199083,0.000475472,0.00656014,0.00350618,1.76733,0,51,30,0,0.0381311,0,0.0052893,0,7.56979e-06,0,0.032314,0.0328418,0.0381235,0.0709653,0.0381311,0.00528173,698.739,0,79,2,0.516049,-0.0189905,0.395062
9,459,0.00442187,0,0.00182038,0,0.00675466,0,0.00259813,0.00260149,-0.00233279,0.000268702,0.00442187,0.00493427,0.2695,0,51,30,0,0.0157571,0,6.85453e-07,0,0.00211826,0,0.0156335,0.0157564,0.0136388,0.0293952,0.0157571,0.00211757,0.000323593,0,5,76,0.567901,0.0974212,0.308642
9,468,0.00205762,0,0,0,0.00422875,0,0.00205556,0.00205762,-0.00217113,-0.00011351,0.00205762,0.00422875,0,0,51,30,0,0.0137522,0,-2.6077e-07,0,0.000913604,0,0.0136588,0.0137525,0.0128386,0.026591,0.0137522,0.000913865,0.00028543,0,2,79,0.541975,0.0355982,0.345679
9,477,0.000411522,0,0,0,0.000823045,0,0.000411426,0.000411522,-0.000411523,-5.82077e-11,0.000411522,0.000823045,0,0,51,30,0,0.00617284,0,0.0123457,0,0,0,-0.00619197,-0.00617288,0.00617284,-4.28408e-08,0.00617284,0.0123457,inf,0,2,79,0.541975,0.0355982,0.345679
