q,win_length,index,dXY,vX 
-0.000026,17,0,0.010742,0.010769
-0.001099,17,1,0.011896,0.012994
-0.000677,17,2,0.005120,0.005797
-0.000677,17,3,0.005120,0.005797
-0.000326,17,4,0.001791,0.002117
-0.000326,17,5,0.001791,0.002117
-0.000326,17,6,0.001791,0.002117
-0.000444,17,7,0.001895,0.002339
-0.000444,17,8,0.001895,0.002339
-0.000444,17,9,0.001895,0.002339
-0.000444,17,10,0.001895,0.002339
-0.000444,17,11,0.001895,0.002339
-0.000444,17,12,0.001895,0.002339
-0.000380,17,13,0.000407,0.000787
-0.000380,17,14,0.000407,0.000787
-0.000380,17,15,0.000407,0.000787
-0.000380,17,16,0.000407,0.000787
-0.000380,17,17,0.000407,0.000787
-0.000068,17,18,0.000068,0.000136
-0.000068,17,19,0.000068,0.000136
-0.000068,17,20,0.000068,0.000136
-0.000068,17,21,0.000068,0.000136
0.000052,17,22,0.000188,0.000136
0.000052,17,23,0.000188,0.000136
0.000115,17,24,0.000115,0.000000
0.000115,17,25,0.000115,0.000000
0.000115,17,26,0.000115,0.000000
0.000115,17,27,0.000115,0.000000
0.000115,17,28,0.000115,0.000000
0.000115,17,29,0.000115,0.000000
0.000115,17,30,0.000115,0.000000
0.000115,17,31,0.000115,0.000000
0.000115,17,32,0.000115,0.000000
0.000115,17,33,0.000115,0.000000
0.000115,17,34,0.000115,0.000000
0.000115,17,35,0.000115,0.000000
0.000115,17,36,0.000115,0.000000
0.000115,17,37,0.000115,0.000000
0.000115,17,38,0.000115,0.000000
0.000000,17,39,0.000000,0.000000
0.000000,17,40,0.000000,0.000000
0.000000,17,41,0.000000,0.000000
0.000000,17,42,0.000000,0.000000
0.000000,17,43,0.000000,0.000000
0.000000,17,44,0.000000,0.000000
0.000000,17,45,0.000000,0.000000
0.000000,17,46,0.000000,0.000000
0.000000,17,47,0.000000,0.000000
0.000000,17,48,0.000000,0.000000
0.000115,17,49,0.000115,0.000000
0.000115,17,50,0.000115,0.000000
0.000115,17,51,0.000115,0.000000
-0.000228,17,52,0.001113,0.001341
-0.000228,17,53,0.001113,0.001341
-0.000228,17,54,0.001113,0.001341
-0.000228,17,55,0.001113,0.001341
-0.000228,17,56,0.001113,0.001341
-0.000228,17,57,0.001113,0.001341
-0.000228,17,58,0.001113,0.001341
-0.000228,17,59,0.001113,0.001341
-0.000228,17,60,0.001113,0.001341
-0.000228,17,61,0.001113,0.001341
-0.000228,17,62,0.001113,0.001341
-0.000228,17,63,0.001113,0.001341
-0.000228,17,64,0.001113,0.001341
-0.000228,17,65,0.001113,0.001341
-0.000402,17,66,0.000939,0.001341
-0.000402,17,67,0.000939,0.001341
-0.000402,17,68,0.000939,0.001341
0.000000,17,69,0.000000,0.000000
0.000000,17,70,0.000000,0.000000
0.000000,17,71,0.000000,0.000000
0.000000,17,72,0.000000,0.000000
0.000000,17,73,0.000000,0.000000
0.000000,17,74,0.000000,0.000000
0.000000,17,75,0.000000,0.000000
0.000000,17,76,0.000000,0.000000
0.000000,17,77,0.000000,0.000000
0.000000,17,78,0.000000,0.000000
0.000000,17,79,0.000000,0.000000
0.000000,17,80,0.000000,0.000000
0.000000,17,81,0.000000,0.000000
0.000000,17,82,0.000000,0.000000
0.000000,17,83,0.000000,0.000000
0.000000,17,84,0.000000,0.000000
0.000000,17,85,0.000000,0.000000
0.000000,17,86,0.000000,0.000000
0.000000,17,87,0.000000,0.000000
0.000000,17,88,0.000000,0.000000
0.000115,17,89,0.000115,0.000000
0.000115,17,90,0.000115,0.000000
0.000052,17,91,0.000188,0.000136
0.000052,17,92,0.000188,0.000136
0.000052,17,93,0.000188,0.000136
0.000052,17,94,0.000188,0.000136
0.000052,17,95,0.000188,0.000136
0.000052,17,96,0.000188,0.000136
0.000052,17,97,0.000188,0.000136
0.000052,17,98,0.000188,0.000136
0.000052,17,99,0.000188,0.000136
0.000052,17,100,0.000188,0.000136
0.000052,17,101,0.000188,0.000136
0.000052,17,102,0.000188,0.000136
